day,policy,health,svi,eff_tss,flagged_frac,energy_kwh
38,none,0.5693781760518817,165.2054811095444,25.852968553420887,0.36666666666666664,1339.360743362416
39,none,0.6500211955599489,154.44222045434918,22.496425786134083,0.43333333333333335,1256.4437723890603
40,none,0.7121163205811606,144.1295097498489,19.63261727033231,0.36666666666666664,1200.479665740181
41,none,0.7599295668474937,134.16372250738362,17.122715298155878,0.43333333333333335,1163.5693426199393
42,none,0.7967457664725701,126.49006633068541,15.190090779580027,0.36666666666666664,1135.1483938173535
43,none,0.825094240183879,120.58135107462778,13.701969900276623,0.26666666666666666,1113.2642632393622
44,none,0.8469225649415868,116.03164032746338,12.556116823213,0.4,1096.4134826943089
45,none,0.8637303750050218,112.5283630521468,11.673809953874011,0.36666666666666664,1083.4383816746179
46,none,0.8766723887538668,109.83083955015303,10.994433664482987,0.26666666666666666,1073.4475538894558
47,none,0.8866377393404774,107.75374645361785,10.471313921651902,0.23333333333333334,1065.754616494881
48,none,0.8943110592921676,106.15438476928574,10.068511719671966,0.3333333333333333,1059.8310547010583
49,none,0.900219515654969,104.92287627235002,9.758354024147414,0.2,1055.2699121198148
50,none,0.9047690270543262,103.97461472970951,9.519532598593507,0.2,1051.7578323322573
51,none,0.9082721508318311,103.24445334187632,9.335640100917,0.1,1049.053530895838
52,none,0.91096955614051,102.68222907324478,9.194042877706092,0.3333333333333333,1046.9712187897956
53,none,0.9130465582281927,102.24931638639848,9.085013015833692,0.3,1045.3678384681427
54,none,0.9146458498357084,101.91597361752684,9.001060022191945,0.3333333333333333,1044.1332356204698
55,none,0.9158773043734955,101.65929968549565,8.936416217087796,0.3333333333333333,1043.1825914277617
56,none,0.9168255243675915,101.46166075783165,8.886640487157603,0.26666666666666666,1042.4505953993767
57,none,0.9175556537630455,101.30947878353037,8.848313175111352,0.3,1041.88695845752
58,none,0.918117853397545,101.19229866331838,8.818801144835742,0.2,1041.4529580122905
59,none,0.9185507471161097,101.10206997075515,8.79607688152352,0.16666666666666666,1041.1187776694635
60,none,0.9188840752794045,101.03259387748145,8.778579198773107,0.3,1040.861458805487
61,none,0.9191407379651415,100.97909728566071,8.765105983055292,0.26666666666666666,1040.6633232802249
62,none,0.919338368233159,100.93790490995875,8.754731606952575,0.3,1040.5107589257732
63,none,0.9194905435395324,100.90618678066822,8.746743337353479,0.3333333333333333,1040.393284372845
64,none,0.91960771852544,100.88176382111455,8.740592369762183,0.3,1040.302828967091
65,none,0.9196979432645888,100.86295814225818,8.735856124716875,0.3,1040.23317830466
66,none,0.9197674163137334,100.8484777695388,8.732209216031995,0.3,1040.179547294588
67,none,0.9198209105615747,100.83732788254488,8.729401096344638,0.23333333333333334,1040.1382514168329
68,none,0.9198621011324125,100.82874246955957,8.727238844185374,0.13333333333333333,1040.1064535909613
69,none,0.9198938178719577,100.82213170156086,8.725573910022735,0.26666666666666666,1040.0819692650402
70,none,0.9199182397614074,100.81704141020187,8.724291910717508,0.2,1040.063116334081
71,none,0.9199370446162837,100.81312188585542,8.72330477125248,0.26666666666666666,1040.0485995772424
72,none,0.9199515243545384,100.8101038521087,8.722544673864412,0.36666666666666664,1040.0374216744765
73,none,0.9199626737529946,100.80777996612368,8.721959398875592,0.23333333333333334,1040.028814689347
74,none,0.9199712587898058,100.80599057391524,8.721508737134206,0.16666666666666666,1040.022187310797
75,none,0.9199778692681505,100.80461274191474,8.72116172759334,0.23333333333333334,1040.017084229314
76,none,0.9199829593364759,100.80355181127435,8.720894530246872,0.23333333333333334,1040.0131548565716
